"Run Fondo";"run_fondo_largo";"nombre_f";"nombre_corto_f";"vigencia";"estado";"tipo_fm";"run_agf";"razon_social_agf";"fecha_deposito";"fecha_ult_modif";"fecha_inicio_ope";"nro_fecha_resolucion";"fecha_cumplimiento";"fecha_termino_op";"num_registro"
"8172";"8172-8";FONDO MUTUO LARRAINVIAL CUENTA ACTIVA DEFENSIVA DÓLAR;CA DEFENSIVA DÓLAR;Vigente;;"6-FM DE LIBRE INVERSION";"96955500-K";LARRAINVIAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-09-14;2023-03-10;2000-10-16;Res. 253 (16/10/2000);2000-12-19;;FM110012
"8442";"8442-5";FONDO MUTUO CREDICORP CAPITAL RENTA INTERNACIONAL;FM CC RENTA INTERNAC;Vigente;;"6-FM DE LIBRE INVERSION";"99549940-1";CREDICORP CAPITAL ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-04-01;2023-01-26;2006-07-26;Res. 300 (26/07/2006);2006-10-31;;FM110302
"8776";"8776-9";FONDO MUTUO SURA RENTA INTERNACIONAL;RENTA INTERNACIONAL;Vigente;;"6-FM DE LIBRE INVERSION";"76036521-1";ADMINISTRADORA GENERAL DE FONDOS SURA S.A.;2022-01-20;2023-09-29;2010-03-01;Res. 72 (01/03/2010);2010-07-08;;FM110520
"9209";"9209-6";FONDO MUTUO BTG PACTUAL RENTA INTERNACIONAL;RENTA INTERNACIONAL;Vigente;;"6-FM DE LIBRE INVERSION";"96966250-7";BTG PACTUAL CHILE S.A. ADMINISTRADORA GENERAL DE FONDOS;2020-08-07;2021-02-08;2015-07-21;-;2016-05-30;;FM150950
"9561";"9561-3";FONDO MUTUO BANCHILE COBERTURA DEUDA GLOBAL;COBERTURA GLOBAL;Vigente;;"6-FM DE LIBRE INVERSION";"96767630-6";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2020-01-21;2022-10-24;2018-01-04;-;2018-02-06;;FM171303
"9655";"9655-5";FONDO MUTUO SECURITY DEUDA INTERNACIONAL;DEUDA INTERNACIONAL;Vigente;;"6-FM DE LIBRE INVERSION";"96639280-0";ADMINISTRADORA GENERAL DE FONDOS SECURITY S.A.;2020-04-07;2023-03-01;2018-10-01;-;2018-12-14;;FM181400
"9834";"9834-5";FONDO MUTUO ITAU RENTA DINAMICA GLOBAL;RENTA DINAMICA GLOBA;Vigente;;"6-FM DE LIBRE INVERSION";"96980650-9";ITAU ADMINISTRADORA GENERAL DE FONDOS S.A.;2020-07-30;2023-03-18;2019-12-27;-;2020-01-02;;FM191579
